question,sql
"What was the total number of referrals per day in the force's area between Friday and 0600hrs on Monday?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Can you provide the referral data from Friday through 0600hrs Monday in the force region?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Share the daily referral figures from Friday to 0600hrs Monday in the force area.","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"How many referrals were filed in the force area from Friday to 0600hrs Monday?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"What are the referral counts from Friday to Monday 0600hrs in the force's jurisdiction?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Provide the number of referrals per day for the force area from Friday to 0600hrs on Monday.","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Could you provide referral statistics from Friday to 0600hrs Monday for the force region?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"How many referrals were reported each day between Friday and Monday 0600hrs in the force area?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"Can I get the referral figures from Friday to 0600hrs on Monday for the force’s area?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"How many referrals were recorded from Friday through 0600hrs on Monday in the force region?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
"What were the daily referral numbers in the force area from Friday through 0600hrs Monday?","WITH WeekendData AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE)) AS WeekendStart, COUNT(*) AS ReferralCount FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(MONTH, -1, GETDATE()) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6)) GROUP BY DATEADD(DAY, -((DATEPART(WEEKDAY, ReferralCreatedDateTime) + 1) % 7), CAST(ReferralCreatedDateTime AS DATE))), ThisWeekend AS (SELECT DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AS ThisWeekendStart, COUNT(*) AS TotalThisWeekendReferrals FROM Referrals WHERE ReferralCreatedDateTime >= DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE)) AND ReferralCreatedDateTime < DATEADD(DAY, 3, DATEADD(DAY, -((DATEPART(WEEKDAY, GETDATE()) + 1) % 7), CAST(GETDATE() AS DATE))) AND (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 6 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 7 OR DATEPART(WEEKDAY, ReferralCreatedDateTime) = 1 OR (DATEPART(WEEKDAY, ReferralCreatedDateTime) = 2 AND DATEPART(HOUR, ReferralCreatedDateTime) < 6))), PreviousWeekends AS (SELECT AVG(ReferralCount) AS AvgPreviousWeekendReferrals, SUM(ReferralCount) AS TotalPreviousWeekendReferrals FROM WeekendData WHERE WeekendStart < (SELECT ThisWeekendStart FROM ThisWeekend)) SELECT ThisWeekend.TotalThisWeekendReferrals, PreviousWeekends.AvgPreviousWeekendReferrals, PreviousWeekends.TotalPreviousWeekendReferrals, CASE WHEN ThisWeekend.TotalThisWeekendReferrals > PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Above Average' WHEN ThisWeekend.TotalThisWeekendReferrals < PreviousWeekends.AvgPreviousWeekendReferrals THEN 'Below Average' ELSE 'Equal to Average' END AS ComparisonResult FROM ThisWeekend, PreviousWeekends;"
